Video,Config,Frame_Index,MSE
03_ideal_palette.mp4,V5 Hybrid Arena,59,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,60,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,61,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,62,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,63,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,64,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,65,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,66,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,67,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,68,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,69,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,70,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,71,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,72,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,73,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,74,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,75,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,76,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,77,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,78,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,79,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,80,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,81,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,82,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,83,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,84,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,85,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,86,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,87,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,88,0.2554
03_ideal_palette.mp4,V5 Hybrid Arena,89,0.2554
04_ideal_baseline.mp4,V5 Hybrid Arena,0,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,1,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,2,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,3,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,4,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,5,9.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,6,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,7,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,8,9.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,9,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,10,9.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,11,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,12,9.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,13,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,14,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,15,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,16,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,17,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,18,1.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,19,4.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,20,9.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,21,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,22,9.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,23,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,24,9.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,25,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,26,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,27,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,28,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,29,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,30,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,31,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,32,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,33,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,34,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,35,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,36,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,37,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,38,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,39,9.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,40,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,41,4.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,42,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,43,9.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,44,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,45,1.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,46,1.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,47,1.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,48,1.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,49,1.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,50,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,51,1.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,52,9.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,53,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,54,9.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,55,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,56,9.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,57,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,58,4.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,59,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,60,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,61,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,62,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,63,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,64,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,65,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,66,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,67,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,68,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,69,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,70,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,71,9.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,72,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,73,9.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,74,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,75,9.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,76,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,77,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,78,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,79,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,80,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,81,1.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,82,4.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,83,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,84,4.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,85,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,86,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,87,9.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,88,0.0000
04_ideal_baseline.mp4,V5 Hybrid Arena,89,4.0000
05_break_entropy.mp4,V5 Hybrid Arena,0,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,1,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,2,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,3,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,4,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,5,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,6,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,7,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,8,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,9,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,10,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,11,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,12,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,13,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,14,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,15,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,16,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,17,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,18,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,19,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,20,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,21,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,22,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,23,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,24,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,25,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,26,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,27,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,28,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,29,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,30,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,31,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,32,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,33,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,34,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,35,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,36,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,37,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,38,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,39,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,40,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,41,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,42,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,43,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,44,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,45,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,46,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,47,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,48,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,49,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,50,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,51,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,52,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,53,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,54,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,55,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,56,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,57,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,58,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,59,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,60,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,61,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,62,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,63,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,64,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,65,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,66,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,67,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,68,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,69,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,70,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,71,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,72,0.0000
05_break_entropy.mp4,V5 Hybrid Arena,73,0.0000
